Detected id,Detected size,Truth id,Truth size,Precision,Detected left,intersect,Truth left
1,34,5,20,0.058824,31,3,17
2,31,39,20,0.040816,29,2,18
3,30,96,20,0.041667,28,2,18
4,30,77,20,0.041667,28,2,18
5,30,85,20,0.041667,28,2,18
6,30,82,20,0.041667,28,2,18
7,30,28,20,0.041667,28,2,18
8,30,31,20,0.041667,28,2,18
9,30,86,20,0.041667,28,2,18
10,30,74,20,0.041667,28,2,18
11,30,28,20,0.041667,28,2,18
12,30,75,20,0.041667,28,2,18
13,30,19,20,0.041667,28,2,18
14,30,24,20,0.063830,27,3,17
15,30,97,20,0.020408,29,1,19
16,30,100,20,0.020408,29,1,19
17,30,98,20,0.041667,28,2,18
18,30,100,20,0.041667,28,2,18
19,30,60,20,0.041667,28,2,18
20,30,76,20,0.041667,28,2,18
21,30,69,20,0.041667,28,2,18
22,30,93,20,0.041667,28,2,18
23,30,57,20,0.041667,28,2,18
24,30,45,20,0.041667,28,2,18
25,30,70,20,0.041667,28,2,18
26,30,79,20,0.041667,28,2,18
27,30,98,20,0.020408,29,1,19
28,30,59,20,0.041667,28,2,18
29,29,82,20,0.042553,27,2,18
30,29,54,20,0.042553,27,2,18
31,29,47,20,0.042553,27,2,18
32,29,82,20,0.042553,27,2,18
33,29,77,20,0.042553,27,2,18
34,28,72,20,0.043478,26,2,18
35,28,67,20,0.066667,25,3,17
36,26,78,20,0.045455,24,2,18
37,24,86,20,0.047619,22,2,18
38,23,8,20,0.048780,21,2,18
39,22,14,20,0.050000,20,2,18
40,19,88,20,0.026316,18,1,19
41,18,8,20,0.027027,17,1,19
42,18,2,20,0.027027,17,1,19
43,17,95,20,0.027778,16,1,19
44,17,83,20,0.027778,16,1,19
45,16,90,20,0.028571,15,1,19
46,16,85,20,0.028571,15,1,19
47,15,86,20,0.029412,14,1,19
48,15,92,20,0.029412,14,1,19
49,15,100,20,0.029412,14,1,19
50,14,3,20,0.030303,13,1,19
51,14,50,20,0.062500,12,2,18
52,14,4,20,0.030303,13,1,19
53,14,2,20,0.030303,13,1,19
54,14,25,20,0.030303,13,1,19
55,13,15,20,0.031250,12,1,19
56,13,55,20,0.064516,11,2,18
57,13,1,20,0.031250,12,1,19
58,12,92,20,0.032258,11,1,19
59,12,99,20,0.032258,11,1,19
60,12,99,20,0.032258,11,1,19
61,12,93,20,0.032258,11,1,19
62,12,99,20,0.032258,11,1,19
63,12,98,20,0.032258,11,1,19
64,12,67,20,0.066667,10,2,18
65,12,98,20,0.032258,11,1,19
66,11,94,20,0.033333,10,1,19
67,11,86,20,0.033333,10,1,19
68,11,100,20,0.033333,10,1,19
69,11,89,20,0.033333,10,1,19
70,11,100,20,0.033333,10,1,19
71,11,80,20,0.033333,10,1,19
72,11,93,20,0.033333,10,1,19
73,10,67,20,0.034483,9,1,19
74,10,98,20,0.034483,9,1,19
75,10,82,20,0.034483,9,1,19
76,10,98,20,0.071429,8,2,18
77,10,82,20,0.034483,9,1,19
78,10,90,20,0.034483,9,1,19
79,10,54,20,0.071429,8,2,18
80,9,85,20,0.035714,8,1,19
81,9,90,20,0.035714,8,1,19
82,9,97,20,0.035714,8,1,19
83,9,21,20,0.074074,7,2,18
84,9,28,20,0.074074,7,2,18
85,9,60,20,0.035714,8,1,19
86,9,85,20,0.035714,8,1,19
87,9,92,20,0.035714,8,1,19
88,8,86,20,0.037037,7,1,19
89,8,51,20,0.076923,6,2,18
90,8,94,20,0.037037,7,1,19
91,8,86,20,0.037037,7,1,19
92,8,100,20,0.037037,7,1,19
93,8,84,20,0.037037,7,1,19
94,8,91,20,0.037037,7,1,19
95,8,79,20,0.037037,7,1,19
96,8,97,20,0.037037,7,1,19
97,8,86,20,0.037037,7,1,19
98,8,78,20,0.037037,7,1,19
99,7,16,20,0.038462,6,1,19
100,7,22,20,0.080000,5,2,18
101,7,23,20,0.038462,6,1,19
102,7,1,20,0.038462,6,1,19
103,7,16,20,0.038462,6,1,19
104,7,31,20,0.038462,6,1,19
105,7,15,20,0.038462,6,1,19
106,7,6,20,0.038462,6,1,19
107,7,76,20,0.080000,5,2,18
108,7,12,20,0.038462,6,1,19
109,7,15,20,0.038462,6,1,19
110,7,14,20,0.038462,6,1,19
111,7,8,20,0.038462,6,1,19
112,7,5,20,0.038462,6,1,19
113,7,25,20,0.038462,6,1,19
114,7,38,20,0.038462,6,1,19
115,7,18,20,0.038462,6,1,19
116,7,7,20,0.038462,6,1,19
117,7,54,20,0.038462,6,1,19
118,7,6,20,0.038462,6,1,19
119,6,10,20,0.040000,5,1,19
120,6,23,20,0.040000,5,1,19
121,6,12,20,0.040000,5,1,19
122,6,69,20,0.040000,5,1,19
123,6,7,20,0.040000,5,1,19
124,6,66,20,0.040000,5,1,19
125,6,5,20,0.040000,5,1,19
126,6,17,20,0.040000,5,1,19
127,6,42,20,0.040000,5,1,19
128,6,17,20,0.040000,5,1,19
129,6,1,20,0.040000,5,1,19
130,6,44,20,0.040000,5,1,19
131,6,7,20,0.040000,5,1,19
132,6,18,20,0.040000,5,1,19
133,6,3,20,0.040000,5,1,19
134,6,27,20,0.040000,5,1,19
135,6,10,20,0.040000,5,1,19
136,6,48,20,0.040000,5,1,19
137,6,8,20,0.040000,5,1,19
138,6,7,20,0.040000,5,1,19
139,6,44,20,0.040000,5,1,19
140,6,3,20,0.040000,5,1,19
141,6,7,20,0.040000,5,1,19
142,6,5,20,0.040000,5,1,19
143,6,41,20,0.040000,5,1,19
144,6,8,20,0.040000,5,1,19
145,6,55,20,0.040000,5,1,19
146,6,36,20,0.040000,5,1,19
147,5,75,20,0.041667,4,1,19
148,5,65,20,0.041667,4,1,19
149,5,88,20,0.041667,4,1,19
150,5,60,20,0.041667,4,1,19
151,5,27,20,0.041667,4,1,19
152,5,69,20,0.041667,4,1,19
153,5,98,20,0.041667,4,1,19
154,5,82,20,0.041667,4,1,19
155,5,91,20,0.041667,4,1,19
156,5,75,20,0.041667,4,1,19
157,5,73,20,0.041667,4,1,19
158,5,26,20,0.041667,4,1,19
159,5,82,20,0.041667,4,1,19
160,5,93,20,0.041667,4,1,19
161,5,74,20,0.041667,4,1,19
162,5,56,20,0.041667,4,1,19
163,5,92,20,0.041667,4,1,19
164,5,96,20,0.041667,4,1,19
165,5,84,20,0.041667,4,1,19
166,5,30,20,0.041667,4,1,19
167,5,100,20,0.041667,4,1,19
168,5,76,20,0.041667,4,1,19
169,5,99,20,0.041667,4,1,19
170,5,93,20,0.041667,4,1,19
171,5,80,20,0.041667,4,1,19
172,5,98,20,0.041667,4,1,19
173,5,70,20,0.041667,4,1,19
174,5,95,20,0.041667,4,1,19
175,5,87,20,0.041667,4,1,19
176,5,89,20,0.041667,4,1,19
177,5,82,20,0.041667,4,1,19
178,5,85,20,0.041667,4,1,19
179,5,98,20,0.041667,4,1,19
180,5,55,20,0.041667,4,1,19
181,5,51,20,0.041667,4,1,19
182,5,97,20,0.041667,4,1,19
183,5,89,20,0.041667,4,1,19
184,5,69,20,0.041667,4,1,19
185,5,84,20,0.041667,4,1,19
186,5,65,20,0.041667,4,1,19
187,5,18,20,0.041667,4,1,19
188,5,78,20,0.041667,4,1,19
189,5,77,20,0.041667,4,1,19
190,4,40,20,0.043478,3,1,19
191,4,72,20,0.043478,3,1,19
192,4,97,20,0.043478,3,1,19
193,4,87,20,0.043478,3,1,19
194,4,62,20,0.043478,3,1,19
195,4,69,20,0.043478,3,1,19
196,4,85,20,0.043478,3,1,19
197,4,79,20,0.043478,3,1,19
198,4,87,20,0.043478,3,1,19
199,4,43,20,0.043478,3,1,19
200,4,89,20,0.043478,3,1,19
201,4,16,20,0.043478,3,1,19
202,4,84,20,0.043478,3,1,19
203,4,73,20,0.043478,3,1,19
204,4,21,20,0.043478,3,1,19
205,4,69,20,0.043478,3,1,19
206,4,80,20,0.043478,3,1,19
207,4,63,20,0.043478,3,1,19
208,4,66,20,0.043478,3,1,19
209,4,79,20,0.043478,3,1,19
210,4,82,20,0.043478,3,1,19
211,4,84,20,0.043478,3,1,19
212,4,66,20,0.043478,3,1,19
213,4,88,20,0.043478,3,1,19
214,4,57,20,0.043478,3,1,19
215,4,92,20,0.043478,3,1,19
216,4,94,20,0.043478,3,1,19
217,4,73,20,0.043478,3,1,19
218,4,99,20,0.043478,3,1,19
219,4,83,20,0.043478,3,1,19
220,4,9,20,0.043478,3,1,19
221,4,32,20,0.043478,3,1,19
222,4,71,20,0.043478,3,1,19
223,4,98,20,0.043478,3,1,19
224,4,96,20,0.043478,3,1,19
225,4,91,20,0.043478,3,1,19
226,4,92,20,0.043478,3,1,19
227,4,81,20,0.043478,3,1,19
228,4,83,20,0.043478,3,1,19
229,4,88,20,0.043478,3,1,19
230,4,90,20,0.043478,3,1,19
231,4,75,20,0.090909,2,2,18
232,4,70,20,0.043478,3,1,19
233,4,77,20,0.043478,3,1,19
234,4,78,20,0.043478,3,1,19
235,4,98,20,0.043478,3,1,19
236,4,36,20,0.090909,2,2,18
237,4,84,20,0.043478,3,1,19
238,4,41,20,0.043478,3,1,19
239,4,91,20,0.043478,3,1,19
240,4,30,20,0.043478,3,1,19
241,4,100,20,0.043478,3,1,19
242,4,87,20,0.043478,3,1,19
243,4,77,20,0.043478,3,1,19
244,4,64,20,0.043478,3,1,19
245,4,7,20,0.043478,3,1,19
246,4,91,20,0.043478,3,1,19
247,4,97,20,0.043478,3,1,19
248,4,95,20,0.043478,3,1,19
249,4,66,20,0.043478,3,1,19
250,4,90,20,0.043478,3,1,19
251,4,96,20,0.043478,3,1,19
252,4,100,20,0.043478,3,1,19
253,4,75,20,0.043478,3,1,19
254,4,15,20,0.043478,3,1,19
255,4,52,20,0.043478,3,1,19
256,4,84,20,0.043478,3,1,19
257,4,68,20,0.043478,3,1,19
258,4,86,20,0.043478,3,1,19
259,4,83,20,0.043478,3,1,19
260,4,32,20,0.043478,3,1,19
261,4,87,20,0.043478,3,1,19
262,4,63,20,0.043478,3,1,19
263,3,20,20,0.045455,2,1,19
264,3,7,20,0.045455,2,1,19
265,3,58,20,0.045455,2,1,19
266,3,7,20,0.045455,2,1,19
267,3,20,20,0.045455,2,1,19
268,3,9,20,0.045455,2,1,19
269,3,70,20,0.045455,2,1,19
270,3,52,20,0.045455,2,1,19
271,3,46,20,0.045455,2,1,19
272,3,16,20,0.045455,2,1,19
273,3,13,20,0.045455,2,1,19
274,3,66,20,0.045455,2,1,19
275,3,15,20,0.045455,2,1,19
276,3,26,20,0.045455,2,1,19
277,3,31,20,0.045455,2,1,19
278,3,5,20,0.045455,2,1,19
279,3,51,20,0.045455,2,1,19
280,3,33,20,0.045455,2,1,19
281,3,61,20,0.045455,2,1,19
282,3,3,20,0.045455,2,1,19
283,3,83,20,0.045455,2,1,19
284,3,10,20,0.045455,2,1,19
285,3,35,20,0.045455,2,1,19
286,3,23,20,0.045455,2,1,19
287,3,39,20,0.045455,2,1,19
288,3,89,20,0.045455,2,1,19
289,3,1,20,0.045455,2,1,19
290,3,4,20,0.045455,2,1,19
291,3,49,20,0.045455,2,1,19
292,3,27,20,0.045455,2,1,19
293,3,57,20,0.045455,2,1,19
294,3,43,20,0.045455,2,1,19
295,3,63,20,0.045455,2,1,19
296,3,22,20,0.045455,2,1,19
297,3,40,20,0.045455,2,1,19
298,3,16,20,0.045455,2,1,19
299,3,59,20,0.045455,2,1,19
300,3,15,20,0.045455,2,1,19
301,3,48,20,0.045455,2,1,19
302,3,6,20,0.045455,2,1,19
303,3,34,20,0.045455,2,1,19
304,3,3,20,0.045455,2,1,19
305,3,32,20,0.045455,2,1,19
306,3,32,20,0.045455,2,1,19
307,3,2,20,0.045455,2,1,19
308,3,43,20,0.045455,2,1,19
309,3,12,20,0.045455,2,1,19
310,3,37,20,0.045455,2,1,19
311,3,26,20,0.045455,2,1,19
312,3,15,20,0.045455,2,1,19
313,3,49,20,0.045455,2,1,19
314,3,55,20,0.045455,2,1,19
315,3,25,20,0.045455,2,1,19
316,3,11,20,0.045455,2,1,19
317,3,25,20,0.045455,2,1,19
318,3,100,20,0.045455,2,1,19
319,3,26,20,0.045455,2,1,19
320,3,69,20,0.045455,2,1,19
321,3,25,20,0.045455,2,1,19
322,3,7,20,0.045455,2,1,19
323,3,29,20,0.045455,2,1,19
324,3,47,20,0.045455,2,1,19
325,3,53,20,0.045455,2,1,19
326,3,20,20,0.045455,2,1,19
327,3,39,20,0.045455,2,1,19
328,3,37,20,0.045455,2,1,19
329,3,65,20,0.045455,2,1,19
330,3,21,20,0.045455,2,1,19
331,3,73,20,0.095238,1,2,18
332,3,18,20,0.045455,2,1,19
333,3,42,20,0.045455,2,1,19
334,3,8,20,0.045455,2,1,19
335,3,5,20,0.045455,2,1,19
336,3,51,20,0.045455,2,1,19
337,3,54,20,0.045455,2,1,19
338,3,60,20,0.045455,2,1,19
339,3,30,20,0.045455,2,1,19
340,3,60,20,0.045455,2,1,19
341,3,35,20,0.045455,2,1,19
342,3,67,20,0.045455,2,1,19
343,3,35,20,0.045455,2,1,19
344,3,74,20,0.045455,2,1,19
345,3,46,20,0.045455,2,1,19
346,3,20,20,0.045455,2,1,19
347,3,64,20,0.045455,2,1,19
348,3,1,20,0.000000,3,0,20
Weighted Average,0.041399
Average,0.042658
